job_title,job_category,experience_level,salary,salary_currency,salary_in_usd,company_location,employee_residence,work_setting,employment_type,company_size,work_year
Data Analyst,Data Analysis,Senior,155000,USD,155000,Canada,Canada,In-person,Full-time,M,2024
Data Scientist,Data Science and Research,Intermediate,155000,USD,155000,United States,United States,In-person,Full-time,M,2024
Data Analytics Lead,Data Architecture and Modeling,Senior,155000,USD,155000,United States,United States,In-person,Full-time,M,2024
Analytics Engineer,Data Engineering,Senior,155000,USD,155000,United States,United States,In-person,Full-time,M,2023
ML Engineer,Machine Learning and AI,Intermediate,155000,USD,155000,United States,United States,In-person,Full-time,M,2023
Data Analyst,Data Analysis,Intermediate,155000,USD,155000,United States,United States,In-person,Full-time,M,2023
Data Engineer,Data Engineering,Intermediate,155000,USD,155000,United States,United States,In-person,Full-time,M,2023
Data Architect,Data Architecture and Modeling,Senior,155000,USD,155000,United States,United States,In-person,Full-time,M,2023
Data Engineer,Data Engineering,Senior,155000,USD,155000,United States,United States,In-person,Full-time,M,2023
Data Scientist,Data Science and Research,Senior,155000,USD,155000,United States,United States,In-person,Full-time,M,2023
Research Engineer,Data Science and Research,Senior,155000,USD,155000,United States,United States,In-person,Full-time,M,2023
Data Analyst,Data Analysis,Senior,155000,USD,155000,United States,United States,In-person,Full-time,M,2023
Data Scientist,Data Science and Research,Senior,155000,USD,155000,Canada,Canada,In-person,Full-time,M,2023
Data Modeler,Data Architecture and Modeling,Senior,155000,USD,155000,United States,United States,Remote,Full-time,L,2023
Data Architect,Data Architecture and Modeling,Senior,155000,USD,155000,United States,United States,Remote,Full-time,M,2023
Data Scientist,Data Science and Research,Intermediate,155000,USD,155000,United States,United States,Remote,Full-time,M,2023
Data Scientist,Data Science and Research,Senior,155000,USD,155000,United States,United States,Remote,Full-time,M,2023
Business Intelligence Engineer,Data Engineering,Senior,155000,USD,155000,United States,United States,Remote,Full-time,M,2023
Data Lead,Data Architecture and Modeling,Senior,155000,USD,155000,United States,United States,In-person,Full-time,M,2023
Research Scientist,Data Science and Research,Intermediate,155000,USD,155000,United States,United States,In-person,Full-time,M,2023
Research Engineer,Data Science and Research,Intermediate,155000,USD,155000,United States,United States,In-person,Full-time,M,2023
Machine Learning Engineer,Machine Learning and AI,Senior,155000,USD,155000,United States,United States,In-person,Full-time,M,2023
Data Analyst,Data Analysis,Senior,155000,USD,155000,United Kingdom,United Kingdom,In-person,Full-time,M,2023
Data Scientist,Data Science and Research,Intermediate,155000,USD,155000,United States,United States,In-person,Full-time,M,2023
Data Analytics Manager,Leadership and Management,Intermediate,155000,USD,155000,United States,United States,In-person,Full-time,M,2023
Decision Scientist,Data Architecture and Modeling,Senior,155000,USD,155000,United States,United States,Remote,Full-time,M,2023
Machine Learning Engineer,Machine Learning and AI,Intermediate,155000,USD,155000,United States,United States,In-person,Full-time,M,2023
Research Scientist,Data Science and Research,Junior,155000,USD,155000,United States,United States,In-person,Full-time,M,2023
Research Engineer,Data Science and Research,Junior,155000,USD,155000,United States,United States,In-person,Full-time,M,2023
Data Architect,Data Architecture and Modeling,Expert,155000,USD,155000,United States,United States,In-person,Full-time,M,2023
Data Manager,Leadership and Management,Senior,155000,USD,155000,United States,United States,In-person,Full-time,M,2023
Data Analytics Manager,Leadership and Management,Expert,155000,USD,155000,United States,United States,In-person,Full-time,M,2023
Data Scientist,Data Science and Research,Intermediate,155000,USD,155000,United States,United States,Remote,Full-time,L,2022
Data Analyst,Data Analysis,Senior,155000,USD,155000,United States,United States,Remote,Full-time,M,2023
Data Engineer,Data Engineering,Senior,155000,USD,155000,United States,United States,In-person,Full-time,M,2022
Data Scientist,Data Science and Research,Senior,155000,USD,155000,United States,United States,In-person,Full-time,M,2022
Data Analytics Manager,Leadership and Management,Intermediate,155000,USD,155000,United States,United States,In-person,Full-time,M,2022
Data Scientist,Data Science and Research,Senior,155000,USD,155000,United States,United States,Remote,Full-time,M,2022
Data Engineer,Data Engineering,Senior,155000,USD,155000,United States,United States,Remote,Full-time,M,2022
Data Analyst,Data Analysis,Senior,155000,USD,155000,United States,United States,Remote,Full-time,M,2022
Machine Learning Engineer,Machine Learning and AI,Senior,154836,USD,154836,United States,United States,Remote,Full-time,M,2023
Applied Scientist,Data Architecture and Modeling,Senior,154836,USD,154836,United States,United States,Remote,Full-time,M,2023
Data Analyst,Data Analysis,Junior,154818,USD,154818,United States,United States,In-person,Full-time,M,2024
Data Scientist,Data Science and Research,Intermediate,154800,USD,154800,United States,United States,In-person,Full-time,M,2024
Data Scientist,Data Science and Research,Junior,154800,USD,154800,United States,United States,In-person,Full-time,M,2024
BI Developer,BI and Visualization,Intermediate,154800,USD,154800,United States,United States,In-person,Full-time,M,2024
BI Developer,BI and Visualization,Intermediate,154800,USD,154800,United States,United States,In-person,Full-time,M,2023
Data Scientist,Data Science and Research,Intermediate,154800,USD,154800,United States,United States,In-person,Full-time,M,2023
Data Scientist,Data Science and Research,Senior,154700,USD,154700,United States,United States,In-person,Full-time,M,2023
Data Scientist,Data Science and Research,Senior,154600,USD,154600,United States,United States,In-person,Full-time,M,2023
Data Scientist,Data Science and Research,Senior,154600,USD,154600,United States,United States,Remote,Full-time,M,2023
Data Engineer,Data Engineering,Senior,154600,USD,154600,United States,United States,Remote,Full-time,M,2022
Data Engineer,Data Engineering,Senior,154600,USD,154600,United States,United States,In-person,Full-time,L,2022
Data Engineer,Data Engineering,Senior,154600,USD,154600,United States,United States,Remote,Full-time,L,2022
Data Analyst,Data Analysis,Senior,154560,USD,154560,United States,United States,In-person,Full-time,M,2022
Data Engineer,Data Engineering,Senior,154545,USD,154545,United States,United States,In-person,Full-time,L,2022
Data Scientist,Data Science and Research,Intermediate,154500,USD,154500,United States,United States,In-person,Full-time,M,2024
Data Analyst,Data Analysis,Senior,154500,USD,154500,United States,United States,Remote,Full-time,M,2023
Data Analyst,Data Analysis,Senior,154440,USD,154440,United States,United States,In-person,Full-time,M,2023
Data Architect,Data Architecture and Modeling,Senior,154400,USD,154400,United States,United States,Remote,Full-time,M,2024
Data Scientist,Data Science and Research,Intermediate,154400,GBP,193000,United Kingdom,United Kingdom,In-person,Full-time,M,2024
Data Scientist,Data Science and Research,Senior,154360,USD,154360,United States,United States,In-person,Full-time,M,2024
Analytics Engineer,Data Engineering,Senior,154100,USD,154100,United States,United States,In-person,Full-time,M,2024
Analytics Engineer,Data Engineering,Intermediate,154100,USD,154100,United States,United States,In-person,Full-time,M,2024
Data Architect,Data Architecture and Modeling,Senior,154000,USD,154000,United States,United States,In-person,Full-time,M,2024
Data Engineer,Data Engineering,Senior,154000,USD,154000,United States,United States,In-person,Full-time,M,2024
Data Scientist,Data Science and Research,Senior,154000,USD,154000,United States,United States,In-person,Full-time,M,2024
Data Analyst,Data Analysis,Intermediate,154000,USD,154000,United States,United States,In-person,Full-time,M,2024
Data Analyst,Data Analysis,Junior,154000,USD,154000,United States,United States,In-person,Full-time,M,2024
Data Engineer,Data Engineering,Intermediate,154000,USD,154000,United States,United States,In-person,Full-time,M,2024
Data Engineer,Data Engineering,Senior,154000,USD,154000,United States,United States,Remote,Full-time,M,2023
Data Engineer,Data Engineering,Intermediate,154000,USD,154000,United States,United States,In-person,Full-time,M,2023
Data Engineer,Data Engineering,Senior,154000,USD,154000,United States,United States,In-person,Full-time,M,2023
Data Operations Analyst,Data Analysis,Senior,154000,USD,154000,United States,United States,In-person,Full-time,M,2023
Applied Scientist,Data Architecture and Modeling,Senior,154000,USD,154000,United States,United States,In-person,Full-time,M,2023
Data Scientist,Data Science and Research,Senior,154000,USD,154000,United States,United States,Remote,Full-time,M,2023
Data Scientist,Data Science and Research,Senior,154000,USD,154000,United States,United States,In-person,Full-time,M,2023
Data Analyst,Data Analysis,Intermediate,154000,USD,154000,United States,United States,In-person,Full-time,M,2023
Data Scientist,Data Science and Research,Senior,154000,USD,154000,United States,United States,In-person,Full-time,M,2022
Data Scientist,Data Science and Research,Senior,154000,USD,154000,United States,United States,Remote,Full-time,M,2022
Data Engineer,Data Engineering,Senior,154000,USD,154000,United States,United States,Remote,Full-time,M,2022
Data Analyst,Data Analysis,Senior,153900,USD,153900,United States,United States,In-person,Full-time,M,2024
Business Intelligence Analyst,Data Analysis,Intermediate,153800,USD,153800,United States,United States,Remote,Full-time,M,2023
Data Analyst,Data Analysis,Senior,153800,USD,153800,United States,United States,Remote,Full-time,M,2023
Data Scientist,Data Science and Research,Intermediate,153700,USD,153700,United States,United States,Remote,Full-time,M,2024
Data Scientist,Data Science and Research,Senior,153600,USD,153600,United States,United States,In-person,Full-time,M,2023
Data Engineer,Data Engineering,Senior,153600,USD,153600,United States,United States,In-person,Full-time,M,2023
Data Analyst,Data Analysis,Senior,153600,USD,153600,United States,United States,Remote,Full-time,M,2023
Data Analyst,Data Analysis,Senior,153600,USD,153600,United States,United States,In-person,Full-time,M,2023
Data Engineer,Data Engineering,Senior,153600,USD,153600,United States,United States,Remote,Full-time,M,2023
Data Engineer,Data Engineering,Senior,153600,USD,153600,United States,United States,In-person,Full-time,M,2022
Data Scientist,Data Science and Research,Senior,153600,USD,153600,United States,United States,Remote,Full-time,M,2022
Data Engineer,Data Engineering,Senior,153550,USD,153550,United States,United States,In-person,Full-time,M,2023
AI Architect,Machine Learning and AI,Senior,153400,USD,153400,United States,United States,In-person,Full-time,M,2024
Machine Learning Engineer,Machine Learning and AI,Senior,153400,USD,153400,United States,United States,In-person,Full-time,M,2023
Data Scientist,Data Science and Research,Senior,153400,USD,153400,United States,United States,In-person,Full-time,M,2023
Data Analyst,Data Analysis,Senior,153300,USD,153300,United States,United States,Remote,Full-time,M,2023
Data Scientist,Data Science and Research,Senior,153300,USD,153300,United States,United States,In-person,Full-time,M,2023
Data Engineer,Data Engineering,Senior,153200,USD,153200,United States,United States,Remote,Full-time,M,2024
Machine Learning Engineer,Machine Learning and AI,Senior,153100,USD,153100,United States,United States,Remote,Full-time,M,2023
Data Engineer,Data Engineering,Senior,153090,USD,153090,United States,United States,In-person,Full-time,M,2023
Machine Learning Engineer,Machine Learning and AI,Senior,153090,USD,153090,United States,United States,In-person,Full-time,M,2023
Machine Learning Engineer,Machine Learning and AI,Senior,153088,USD,153088,United States,United States,Remote,Full-time,M,2023
Research Engineer,Data Science and Research,Senior,153040,USD,153040,United States,United States,In-person,Full-time,M,2024
Machine Learning Engineer,Machine Learning and AI,Senior,153040,USD,153040,United States,United States,In-person,Full-time,M,2024
Machine Learning Engineer,Machine Learning and AI,Intermediate,153040,USD,153040,United States,United States,In-person,Full-time,M,2024
Analytics Engineer,Data Engineering,Senior,153018,USD,153018,United States,United States,In-person,Full-time,M,2024
Machine Learning Engineer,Machine Learning and AI,Senior,153000,USD,153000,United States,United States,In-person,Full-time,M,2024
Data Analyst,Data Analysis,Junior,153000,USD,153000,United States,United States,Remote,Full-time,M,2024
Data Analyst,Data Analysis,Intermediate,153000,USD,153000,United States,United States,In-person,Full-time,M,2024
Data Scientist,Data Science and Research,Senior,153000,USD,153000,United States,United States,Remote,Full-time,M,2024
Analytics Engineer,Data Engineering,Intermediate,153000,USD,153000,United States,United States,In-person,Full-time,M,2024
Data Analyst,Data Analysis,Senior,153000,USD,153000,United States,United States,In-person,Full-time,M,2024
Data Engineer,Data Engineering,Intermediate,153000,USD,153000,United States,United States,In-person,Full-time,M,2024
Data Scientist,Data Science and Research,Senior,153000,USD,153000,Canada,Canada,In-person,Full-time,M,2024
Machine Learning Scientist,Machine Learning and AI,Senior,153000,USD,153000,Canada,Canada,In-person,Full-time,M,2024
Data Scientist,Data Science and Research,Senior,153000,USD,153000,United States,United States,In-person,Full-time,M,2023
Data Scientist,Data Science and Research,Senior,153000,USD,153000,Canada,Canada,Remote,Full-time,M,2023
Data Architect,Data Architecture and Modeling,Senior,153000,USD,153000,United States,United States,Remote,Full-time,M,2023
Data Scientist,Data Science and Research,Senior,153000,USD,153000,United States,United States,Remote,Full-time,M,2023
Analytics Engineer,Data Engineering,Expert,153000,USD,153000,United States,United States,Remote,Full-time,M,2023
Data Engineer,Data Engineering,Senior,153000,USD,153000,Canada,Canada,Remote,Full-time,M,2023
Data Engineer,Data Engineering,Intermediate,153000,USD,153000,United States,United States,Remote,Full-time,M,2022
Data Scientist,Data Science and Research,Senior,153000,USD,153000,United States,United States,Remote,Full-time,M,2022
Data Scientist,Data Science and Research,Intermediate,153000,USD,153000,United States,United States,Remote,Full-time,L,2022
Machine Learning Scientist,Machine Learning and AI,Intermediate,153000,USD,153000,United States,United States,Hybrid,Full-time,M,2022
Data Engineer,Data Engineering,Senior,153000,USD,153000,United States,United States,Remote,Full-time,L,2021
Analytics Engineer,Data Engineering,Senior,152900,USD,152900,United Kingdom,United Kingdom,Remote,Full-time,M,2023
Analytics Engineer,Data Engineering,Senior,152900,USD,152900,United States,United States,Remote,Full-time,M,2023
Data Science Lead,Data Science and Research,Intermediate,152700,USD,152700,United States,United States,In-person,Full-time,M,2023
Data Scientist,Data Science and Research,Intermediate,152600,USD,152600,United States,United States,In-person,Full-time,M,2024
Data Scientist,Data Science and Research,Senior,152600,USD,152600,United States,United States,In-person,Full-time,M,2023
Data Engineer,Data Engineering,Junior,152500,USD,152500,United States,United States,In-person,Full-time,M,2024
Analytics Engineer,Data Engineering,Senior,152500,USD,152500,United States,United States,In-person,Full-time,M,2023
Data Engineer,Data Engineering,Senior,152500,USD,152500,United States,United States,In-person,Full-time,M,2022
Data Science Manager,Data Science and Research,Senior,152500,USD,152500,United States,United States,Remote,Full-time,M,2022
Research Analyst,Data Science and Research,Senior,152400,USD,152400,United States,United States,Remote,Full-time,M,2024
Data Analyst,Data Analysis,Senior,152380,USD,152380,United States,United States,In-person,Full-time,M,2023
Data Engineer,Data Engineering,Senior,152375,USD,152375,United States,United States,Remote,Full-time,M,2024
Data Engineer,Data Engineering,Senior,152375,USD,152375,United States,United States,In-person,Full-time,M,2023
Data Engineer,Data Engineering,Intermediate,152375,USD,152375,United States,United States,Remote,Full-time,M,2023
Machine Learning Engineer,Machine Learning and AI,Senior,152300,USD,152300,United States,United States,In-person,Full-time,M,2023
Machine Learning Engineer,Machine Learning and AI,Senior,152022,USD,152022,United States,United States,In-person,Full-time,M,2023
Data Scientist,Data Science and Research,Intermediate,152000,USD,152000,Canada,Canada,In-person,Full-time,M,2024
Data Scientist,Data Science and Research,Senior,152000,USD,152000,United States,United States,Remote,Full-time,M,2024
Analytics Engineer,Data Engineering,Senior,152000,USD,152000,United States,United States,In-person,Full-time,M,2024
Data Scientist,Data Science and Research,Intermediate,152000,USD,152000,United States,United States,In-person,Full-time,M,2024
Data Scientist,Data Science and Research,Senior,152000,USD,152000,United States,United States,In-person,Full-time,M,2024
Data Analyst,Data Analysis,Senior,152000,USD,152000,United States,United States,In-person,Full-time,M,2024
Machine Learning Engineer,Machine Learning and AI,Intermediate,152000,USD,152000,United States,United States,In-person,Full-time,M,2024
Data Engineer,Data Engineering,Intermediate,152000,USD,152000,United States,United States,In-person,Full-time,M,2024
Data Science,Data Science and Research,Senior,152000,USD,152000,United States,United States,In-person,Full-time,M,2024
Data Engineer,Data Engineering,Intermediate,152000,USD,152000,Canada,Canada,Remote,Full-time,M,2023
Data Scientist,Data Science and Research,Senior,152000,USD,152000,Canada,Canada,In-person,Full-time,M,2023
Machine Learning Infrastructure Engineer,Machine Learning and AI,Senior,152000,USD,152000,United States,United States,Remote,Full-time,M,2023
Machine Learning Engineer,Machine Learning and AI,Senior,152000,USD,152000,United States,United States,In-person,Full-time,M,2023
AI Scientist,Machine Learning and AI,Senior,152000,USD,152000,United States,United States,In-person,Full-time,M,2023
Data Engineer,Data Engineering,Senior,152000,USD,152000,United States,United States,In-person,Full-time,M,2023
Data Scientist,Data Science and Research,Senior,152000,USD,152000,United States,United States,In-person,Full-time,M,2023
Business Intelligence Analyst,Data Analysis,Senior,152000,USD,152000,United States,United States,Remote,Full-time,M,2023
Data Engineer,Data Engineering,Senior,152000,USD,152000,Canada,Canada,In-person,Full-time,M,2023
Research Engineer,Data Science and Research,Senior,152000,USD,152000,United States,United States,In-person,Full-time,M,2023
Data Engineer,Data Engineering,Intermediate,152000,USD,152000,United States,United States,Remote,Full-time,M,2023
Data Science Manager,Data Science and Research,Senior,152000,USD,152000,United States,United States,Remote,Full-time,M,2023
ML Engineer,Machine Learning and AI,Senior,152000,USD,152000,United States,United States,Remote,Full-time,M,2023
ML Engineer,Machine Learning and AI,Senior,152000,USD,152000,United States,United States,In-person,Full-time,M,2023
Data Scientist,Data Science and Research,Senior,152000,USD,152000,United States,United States,In-person,Full-time,M,2022
Data Engineer,Data Engineering,Senior,152000,USD,152000,United States,United States,In-person,Full-time,M,2022
Analytics Engineer,Data Engineering,Senior,152000,USD,152000,United States,United States,In-person,Full-time,M,2022
Data Science Manager,Data Science and Research,Senior,152000,USD,152000,France,United States,Remote,Full-time,L,2021
Research Scientist,Data Science and Research,Senior,151900,USD,151900,United States,United States,In-person,Full-time,M,2024
Machine Learning Engineer,Machine Learning and AI,Senior,151900,USD,151900,United States,United States,In-person,Full-time,M,2024
Data Engineer,Data Engineering,Senior,151840,USD,151840,United States,United States,In-person,Full-time,M,2023
Research Scientist,Data Science and Research,Intermediate,151800,USD,151800,United States,United States,In-person,Full-time,M,2024
Research Scientist,Data Science and Research,Senior,151800,USD,151800,United States,United States,In-person,Full-time,M,2024
Machine Learning Researcher,Machine Learning and AI,Intermediate,151800,USD,151800,United States,United States,In-person,Full-time,M,2024
Data Analyst,Data Analysis,Senior,151800,USD,151800,United States,United States,Remote,Full-time,M,2023
Research Engineer,Data Science and Research,Senior,151800,USD,151800,United States,United States,In-person,Full-time,M,2023
Research Scientist,Data Science and Research,Senior,151800,USD,151800,United States,United States,In-person,Full-time,M,2023
Research Scientist,Data Science and Research,Intermediate,151800,USD,151800,United States,United States,Remote,Full-time,M,2023
Data Scientist,Data Science and Research,Senior,151800,USD,151800,United States,United States,In-person,Full-time,M,2022
Data Manager,Leadership and Management,Intermediate,151700,USD,151700,United States,United States,In-person,Full-time,L,2023
Machine Learning Engineer,Machine Learning and AI,Senior,151600,USD,151600,United States,United States,In-person,Full-time,M,2024
Machine Learning Engineer,Machine Learning and AI,Senior,151600,USD,151600,United States,United States,In-person,Full-time,M,2023
ML Engineer,Machine Learning and AI,Senior,151600,USD,151600,United States,United States,In-person,Full-time,M,2023
Data Scientist,Data Science and Research,Intermediate,151500,USD,151500,United States,United States,In-person,Full-time,M,2024
Research Engineer,Data Science and Research,Intermediate,151500,USD,151500,United States,United States,In-person,Full-time,M,2024
Research Engineer,Data Science and Research,Senior,151500,USD,151500,United States,United States,In-person,Full-time,M,2024
Data Engineer,Data Engineering,Intermediate,151410,USD,151410,United States,United States,In-person,Full-time,M,2023
Data Scientist,Data Science and Research,Junior,151410,USD,151410,United States,United States,Remote,Full-time,M,2023
Data Scientist,Data Science and Research,Intermediate,151410,USD,151410,United States,United States,Remote,Full-time,M,2023
Data Scientist,Data Science and Research,Senior,151300,USD,151300,United States,United States,Remote,Full-time,M,2023
Applied Scientist,Data Architecture and Modeling,Junior,151260,USD,151260,United States,United States,In-person,Part-time,L,2024
Data Engineer,Data Engineering,Senior,151250,USD,151250,United States,United States,Remote,Full-time,M,2023
Data Engineer,Data Engineering,Senior,151200,USD,151200,United States,United States,Remote,Full-time,M,2023
Machine Learning Engineer,Machine Learning and AI,Senior,151100,USD,151100,Canada,Canada,Remote,Full-time,M,2023
Data Infrastructure Engineer,Data Engineering,Senior,151090,USD,151090,United States,United States,In-person,Full-time,M,2023
AI Engineer,Machine Learning and AI,Intermediate,151000,USD,151000,United States,United States,In-person,Full-time,M,2024
Data Scientist,Data Science and Research,Senior,151000,USD,151000,United States,United States,In-person,Full-time,M,2024
Data Scientist,Data Science and Research,Intermediate,151000,USD,151000,United States,United States,In-person,Full-time,M,2024
Data Engineer,Data Engineering,Senior,151000,USD,151000,Canada,Canada,Remote,Full-time,M,2023
Data Product Manager,Leadership and Management,Senior,151000,USD,151000,United States,United States,Remote,Full-time,M,2023
AI Engineer,Machine Learning and AI,Intermediate,151000,USD,151000,United States,United States,In-person,Full-time,M,2023
Data Scientist,Data Science and Research,Senior,151000,USD,151000,United States,United States,Remote,Full-time,M,2023
Analytics Engineer,Data Engineering,Senior,151000,USD,151000,United States,United States,Remote,Full-time,M,2023
Data Engineer,Data Engineering,Intermediate,151000,USD,151000,United States,United States,In-person,Full-time,M,2023
Principal Data Scientist,Data Science and Research,Intermediate,151000,USD,151000,United States,United States,Remote,Full-time,L,2021
Data Scientist,Data Science and Research,Senior,150931,USD,150931,United States,United States,In-person,Full-time,M,2023
Data Engineer,Data Engineering,Expert,150900,USD,150900,United States,United States,In-person,Full-time,M,2023
Data Engineer,Data Engineering,Senior,150895,USD,150895,United States,United States,In-person,Full-time,M,2024
Data Scientist,Data Science and Research,Senior,150800,USD,150800,United States,United States,In-person,Full-time,M,2024
Data Analyst,Data Analysis,Junior,150700,USD,150700,United States,United States,In-person,Full-time,M,2024
Machine Learning Engineer,Machine Learning and AI,Senior,150700,USD,150700,United States,United States,In-person,Full-time,M,2024
Data Engineer,Data Engineering,Senior,150600,USD,150600,United States,United States,Remote,Full-time,M,2023
Data Engineer,Data Engineering,Senior,150600,USD,150600,United Kingdom,United Kingdom,Remote,Full-time,M,2023
Analytics Engineer,Data Engineering,Senior,150550,USD,150550,United States,United States,Remote,Full-time,M,2023
